reviewText_clean,target
really wanted buy game since hearing evil drm ive decided shame since looks like would really great game bad ea ruin upcoming red alert 3 although game lets activate 5 times rather 3 thanks ea,0
never played bethesda softworks game result horrible technical support experience true storyfrom everything ive seen game appears vast improvement fallout 3 areas except glitches bugs im excited play bethesda resolves issues point nearing two weeks without technical support responding support tickets sort helpful manner let alone apologizing inconvenience bugsthough seem minority fallout new vegas crashes instantly introductory windows 7 64 bit pcs dont worry pc run fallout 3 shouldnt happen fallout 3 crashed way though refused handle windows 7 support incidentsyou usually expect fair amount glitches newlyreleased bethesda game generally seem like issuing patches handling customer support prompt courteous wayonce issues resolved update review felt include cautionary talebottom linei would strongly recommend waiting want play game alternatively could buy console system though lose mod support makes bethesda games awesome game works machine believe youll enjoy may want wait release first second patch happen reference fallout 3 patched release week second patch occurred two months laterthis doubleedged sword bethesda games love hate,0
thought idea game sounded funtaking toy store building business back looked tried find people found boring shame buying without reading reviews bought 629 yesterday plan excange today local game store thank god give 7 days return used gamesthis game lot instructions basically taking grandfathers toy store building back scratch playing brothersister team sister runs store brother stays home makes toys consists using arrow keys use 4 different tools characters supposed chat people around town advice make friends locals concept promisebut game poorly executed 10 year old daughter tried game 20 minutes said yeh im liking game back goes,0
absolutely worst game ever played even called low difficulty setting character dies frequently single hit opponentand training phase good include strategy guide cannot even get past training stagemuch less game proper playing video games since 8 bit days ridiculously unbalanced game ever seen even games grind levels advance steps furtheryou still dont die one hit beginning game atlus known difficult games finished every title shin megami tensei series prior one nowi ardent admirer gamesi find favorable reviews game quite unbelievable short using cheat codes replaying saves get lucky survive onehitgameover kills early goingthe claims almost finished thatclaims,0
bought gift brother previously one could never get play download,0
first ignore idiots reviewed game needed soooo bad gave 5 stars wanted pacific assault get high ratingssuch immature little weeniesmoh first released really rocked gaming world release call duty see pathetic moh franchise isi loyal loved moh thought cod simplistic rip wrong cod really much better game weapons graphics realistic sounds environments everythingpacific assault nothing mod pacific instead germans fight japanese duhit realistic graphics dated missions lame get level load level load interrupting game playhave ever seen rat maze feels like playing game narrow paths force follow dont half freedom cod offers soon large confrontation happenthe game autosave predictable dead give away dont know get frantic confusing objectives thrown enemies thrown dozens game seemed like serious sam mohyou start storming beach getting battle knocked outyou wake years earlier boot camp learn use game pearl harbor gets attacked spend time running ship saving men firewowwhoopeee get topside shoot zeros attack garbage finally get jungle fun reallythe levels scripted predictable dont choice hit enemy head every time think annoying thing simple bush log trips moving around getting around obstacles real pain rear gamethe weapons really terrible inaccurate also weak enemy 5 feet takes 10 shots bar rifle kill guy realistically would take 1 2 cod takes one two sound effects guns soft dull unfulfillingwhat like gamejust 2 things 1 call medic get health stumbling health packsnice touch nice felt like compromising strategy battle dumping health packs ground fox holes middle game2 trade weapons typically start pistol riflemachine gun drop rifle grab machine gun soon 2 machine guns handy carry sniper rifle machine gun awesome combothe graphics ok nothing phenomenal cod still kicks butt enemy ai nothing new charge aggressively sometimes seems like flanking disappear never return geeee thanks lot excitingyou get play squad welcome addition franchise however many cases tightnarrow jungle path team mates keep getting way oh never die never dont worry protecting kill enemy gone teammates miraculously survive every time unless game scripted cause deathwhich happens times even benefit levels get redundant go get attacked go get attacked storyline seems like thought even nonexistantlet say modallied assault spearhead expansion pack really fun feel got moneys worth breakthrough expansion pack snack tide us pacific assault donepacific assault finished worth purchaseas always advice waitwaitsave money download play demo available wait game sale xmas download demo play really enjoy itthen play harder setting see still want buy game go either patient listen guy trying save moneyor fork money disappointed later,0
bought vita free 4 gb card offered opening week enough get started something tells required download super starburst delta motorstorm rc ill enough space left game save files thats it100 32 gb grossly overpriced understand sony itthe hardware sold loss need make money back way canbut prices memory currently obscenity gamer remember sony fanboys screeching overpriced proprietary drives xbox 360 must wonder fanboys saying nowi get 32 gb micro sd card around 3035 sony charging three times much amount storage simply acceptable plan using playing vita long possible without buying storage pricing reasonableas say 10 4 gb 20 8 gb 4999 32 gbsony fixing prices help lot long term stands im extremely unlikely use system directly download games kind cheaper solution becomes available,0
poor excuse final fantasy game game never came america sure graphics great characters make sick plot seems like came right baby sitters club book main character squall suffereing teenaged agnst please oh magic system draw juctioning system great idea ahahahahahahaha want good final fantasy get 7 9and 2 3 4 6 people think know japanese stay far away game possibly,0
let start warning potential buyers game persistent world mmorpg like many people high hopes game received 10day beta pass preorder lets say box retail version never got opened loosely quote another reviewturbine made gorgeous game forgot make fun reiterate review writers stressed well game require monthly service fee ridiculously lacking game content looking dd experience group friends online highly suggest steer clear game monthly charge neverwinter nights series may better choice youre looking pay 15 bucks months stare pretty graphics bored skull stormreach kind city,0
game iswas gigantic let game fun 1st time boring monotonous blizzard clearly showed focused creating real money auction house good enjoyable gamei got game enjoyment dungeon crawling unfortunately game doesnt itemization beyond awful also purchased game anticipation arenapvp induction rmah essentially going pay2win form pvpone thing particularly painful fact 1st play game play normal difficulty beating game normal unlocks next difficulty forth beyond stupid done keep people logging time game normal difficulty joke dumb blizzard forces playing itif youre looking dungeon crawler thats actually focused fun gameplay buy torchlight 2,0
